,Index,Date,Content,Company
25,70730,2024-12-30 15:07:52,"НЛБ Банка АД Скопје известува дека реализираше трансакција со Нова Љубљанска банка д.д., Љубљана по основ на предвремена отплата на склучен Договор за субординиран заем на износ од 10 милиони ЕУР.Нова Љубљанска банка д.д., Љубљана е доминантен сопственик на НЛБ Банка АД Скопје со 86,97% учество во вкупниот број на акции на Банката.Субординираниот заем се квалификуваше како дополнителен Tier II капитал на Банката.",NLB Banka AD Skopje
26,70729,2024-12-30 14:06:00,',"Pekabesko AD Kadino, Ilinden"
27,70728,2024-12-30 14:05:00,',"Pekabesko AD Kadino, Ilinden"
28,70727,2024-12-30 09:01:00,,Alkaloid AD Skopje
29,70726,2024-12-30 09:01:00,,Alkaloid AD Skopje
30,70725,2024-12-30 09:01:00,,Alkaloid AD Skopje
31,70724,2024-12-30 09:01:00,,Alkaloid AD Skopje
32,70723,2024-12-27 14:06:00,"Согласно член 33, став 1, алинеја 7 од Правилата за котација на Македонската Берза за хартии од вредност АД Скопје, известуваме дека ;“Макпетрол” А.Д. - Скопје, склучи Договор за набавка на нафтени деривати од ОКТА рафинерија на нафта АД Скопје на ден. 26.12.2024 година, со важност од 1.1.2025 година до 31.12.2027 година. Вредноста на Договорот ќе зависи од идните преземени количини на нафтени деривати и од цените на истите на светските берзи.Проценуваме дека вредноста на Договорот ќе изнесува повеќе од 10 (десет) проценти од капиталот на Друштвото определено врз основа на последните ревидирани годишни финансиски извештаи.",Makpetrol AD Skopje
33,70722,2024-12-27 14:06:00,"На барање на Народната банка на Република Северна Македонија, Надзорниот одбор на ТТК Банка АД Скопје изврши корекции во Предлог – одлуката за измени и дополнувања на Статутот на ТТК Банка АД Скопје и истата заедно со Образложението за направените корекции е во продолжение.",TTK Banka AD Skopje
34,70721,2024-12-27 14:05:00,"Согласно член 33, став 1, алинеја 7 од Правилата за котација на Македонската Берза за хартии од вредност АД Скопје, известуваме дека ;“Макпетрол” А.Д. - Скопје, склучи Договор за набавка на нафтени деривати од ОКТА рафинерија на нафта АД Скопје на ден. 26.12.2024 година, со важност од 1.1.2025 година до 31.12.2027 година. Вредноста на Договорот ќе зависи од идните преземени количини на нафтени деривати и од цените на истите на светските берзи.Проценуваме дека вредноста на Договорот ќе изнесува повеќе од 10 (десет) проценти од капиталот на Друштвото определено врз основа на последните ревидирани годишни финансиски извештаи.",Makpetrol AD Skopje
35,70720,2024-12-27 14:05:00,"На барање на Народната банка на Република Северна Македонија, Надзорниот одбор на ТТК Банка АД Скопје изврши корекции во Предлог – одлуката за измени и дополнувања на Статутот на ТТК Банка АД Скопје и истата заедно со Образложението за направените корекции е во продолжение.",TTK Banka AD Skopje
36,70719,2024-12-27 09:41:00,"Имајќи ги во предвид залагањата на вработените за извршување на работните обврски, а по повод Новогодишните празници, „Макпетрол“ А.Д. - Скопје, објавува дека, на своите вработени им исплати новогодишен надоместок во нето износ од 30.000 денари.Грижата за вработените е значајна за успешноста на Друштвото на долг рок и истата претставува дел од корпоративната политика на „Макпетрол“ А.Д. - Скопје.",Makpetrol AD Skopje
37,70718,2024-12-27 09:40:00,"Имајќи ги во предвид залагањата на вработените за извршување на работните обврски, а по повод Новогодишните празници, „Макпетрол“ А.Д. - Скопје, објавува дека, на своите вработени им исплати новогодишен надоместок во нето износ од 30.000 денари.Грижата за вработените е значајна за успешноста на Друштвото на долг рок и истата претставува дел од корпоративната политика на „Макпетрол“ А.Д. - Скопје.",Makpetrol AD Skopje
38,70717,2024-12-27 09:15:00,"Согласно Глава 6 од Правилата за котација, известуваме за следната промена во органите на управување на Универзална Инвестициона Банка АД Скопје:Со Решениe бр. 15-33457/6 од 24 декември 2024 година ;од ;Гувернерката на Народна банка на РСМ, издадена е претходна согласност за именување на г- дин Делчо Крастев за член на Управниот одбор на Универзална Инвестициона Банка АД Скопје. Согласноста е издадена  ;за период од 3 (три) години, сметано од датумот на приемот на Решението.",UNI Banka AD Skopje
39,70716,2024-12-27 09:14:53,"Согласно Глава 6 од Правилата за котација, известуваме за следната промена во органите на управување на Универзална Инвестициона Банка АД Скопје:Со Решениe бр. 15-33457/6 од 24 декември 2024 година ;од ;Гувернерката на Народна банка на РСМ, издадена е претходна согласност за именување на г- дин Делчо Крастев за член на Управниот одбор на Универзална Инвестициона Банка АД Скопје. Согласноста е издадена  ;за период од 3 (три) години, сметано од датумот на приемот на Решението.",UNI Banka AD Skopje
40,70713,2024-12-26 14:07:00,Календар на настаните 2025 година,Nova stokovna kukja AD Strumica
41,70712,2024-12-26 14:06:00,Календар на настаните 2025 година,Nova stokovna kukja AD Strumica
42,70711,2024-12-25 15:43:00,"Ве известуваме дека, со Решение на Гувернерката на Народната банка на Република Северна Македонија бр. 15-34165/9 од 25 ;декември 2024 година, издадена е претходна согласност за повторно именување (реизбор) на проф. д-р Драгољуб Арсовски за член на Управниот одбор на ТТК Банка АД Скопје. ;Во согласност со Одлуката на Надзорниот одбор на Банката 02-7540/5 од 30.9.2024 година со која проф. д-р Драгољуб Арсовски е повторно именуван (реизбран) за член, тој исто така е избран и за Претседател на Управниот одбор - Генерален извршен директор на ТТК Банка АД Скопје.",TTK Banka AD Skopje
43,70710,2024-12-25 15:42:03,"Ве известуваме дека, со Решение на Гувернерката на Народната банка на Република Северна Македонија бр. 15-34165/9 од 25 ;декември 2024 година, издадена е претходна согласност за повторно именување (реизбор) на проф. д-р Драгољуб Арсовски за член на Управниот одбор на ТТК Банка АД Скопје. ;Во согласност со Одлуката на Надзорниот одбор на Банката 02-7540/5 од 30.9.2024 година со која проф. д-р Драгољуб Арсовски е повторно именуван (реизбран) за член, тој исто така е избран и за Претседател на Управниот одбор - Генерален извршен директор на ТТК Банка АД Скопје.",TTK Banka AD Skopje
44,70709,2024-12-25 15:36:00,,Makedonijaturist AD Skopje
45,70708,2024-12-25 15:28:00,,Makedonijaturist AD Skopje
46,70707,2024-12-25 15:35:15,,Makedonijaturist AD Skopje
47,70706,2024-12-25 15:27:30,,Makedonijaturist AD Skopje
48,70705,2024-12-25 15:14:00,"Врз основа на член 20 од Статутот на Факом АД Скопје се објави јавен повик за одржување Собрание на акционерите на Факом АД Скопје  ;на ден 25.12.2024 во дневниот весник Нова Македонија . Истиот оглас со повик на Собрание на акционери на Факом АД Скопје се поништува со објава на датум 26.12.2024 во дневниот весник Нова Македонија , единствената точка на дневниот ред ќе биде ставена на редовното годишно собрание што друштвото ќе го закаже согласно одредбите од ЗТД.",Fakom AD Skopje
49,70704,2024-12-25 15:03:00,"Одлука за измена на лице за контакт за Силекс Ад, Кратово",Sileks AD Kratovo
50,70703,2024-12-25 15:13:47,"Врз основа на член 20 од Статутот на Факом АД Скопје се објави јавен повик за одржување Собрание на акционерите на Факом АД Скопје  ;на ден 25.12.2024 во дневниот весник Нова Македонија . Истиот оглас со повик на Собрание на акционери на Факом АД Скопје се поништува со објава на датум 26.12.2024 во дневниот весник Нова Македонија , единствената точка на дневниот ред ќе биде ставена на редовното годишно собрание што друштвото ќе го закаже согласно одредбите од ЗТД.",Fakom AD Skopje
51,70702,2024-12-25 15:02:37,"Одлука за измена на лице за контакт за Силекс Ад, Кратово",Sileks AD Kratovo
52,70701,2024-12-25 14:06:00,"Согласно објавата за Јавен повик за 65-то Собрание на акционери на Триглав Осигурување АД, Скопје, закажано за 29.01.2025 година со почеток во 09,00 часот, во просториите на Триглав Осигурување АД, Скопје, на бул. „8-ми Септември“ бр.16, Скопје, ја објавуваме содржината на материјалите по точките од дневниот ред.",Triglav osiguruvanje AD Skopje
53,70700,2024-12-25 14:06:00,"Врз основа на член 41 од Статутот на Триглав Осигурување АД, Скопје и донесената Одлука на 221-та седница на Одборот на директори на Триглав Осигурување АД, Скопје, одржана на ден 19.12.2024 година, за свикување на 65-та седница на Собранието на акционери, објавуваме Повик до акционерите за учество на Собрание на акционери на Друштвото.",Triglav osiguruvanje AD Skopje
54,70699,2024-12-25 14:06:00,Календар на настани во 2025 година,Moda AD Sveti Nikole
55,70698,2024-12-25 14:05:00,"Согласно објавата за Јавен повик за 65-то Собрание на акционери на Триглав Осигурување АД, Скопје, закажано за 29.01.2025 година со почеток во 09,00 часот, во просториите на Триглав Осигурување АД, Скопје, на бул. „8-ми Септември“ бр.16, Скопје, ја објавуваме содржината на материјалите по точките од дневниот ред.",Triglav osiguruvanje AD Skopje
56,70697,2024-12-25 14:05:00,"Врз основа на член 41 од Статутот на Триглав Осигурување АД, Скопје и донесената Одлука на 221-та седница на Одборот на директори на Триглав Осигурување АД, Скопје, одржана на ден 19.12.2024 година, за свикување на 65-та седница на Собранието на акционери, објавуваме Повик до акционерите за учество на Собрание на акционери на Друштвото.",Triglav osiguruvanje AD Skopje
57,70696,2024-12-25 14:05:00,Календар на настани во 2025 година,Moda AD Sveti Nikole
58,70695,2024-12-25 08:51:00,,Centralna kooperativna banka AD Skopje
59,70694,2024-12-25 08:51:00,,Centralna kooperativna banka AD Skopje
60,70693,2024-12-25 08:50:20,,Centralna kooperativna banka AD Skopje
61,70691,2024-12-25 08:50:15,,Centralna kooperativna banka AD Skopje
62,70689,2024-12-24 15:01:00,Витаминка АД Прилеп објавува откуп на сопствени акции,Vitaminka AD Prilep
63,70688,2024-12-24 14:06:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% Пецовски Душан воедно ;Претседател на Управниот одбор и Генерален директор на Реплек АД Скопје, се стекна со 5 нови акции, со што поседува вкупно 31.620 или 12,20% од вкупниот број на акции.Акционер со над 5% односно компанијата Настел ДООЕЛ продаде ;3.357 акции, со што поседува вкупно ;17.866 или ;6,89% од вкупниот број на акции",Replek AD Skopje
64,70687,2024-12-24 14:05:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% Пецовски Душан воедно ;Претседател на Управниот одбор и Генерален директор на Реплек АД Скопје, се стекна со 5 нови акции, со што поседува вкупно 31.620 или 12,20% од вкупниот број на акции.Акционер со над 5% односно компанијата Настел ДООЕЛ продаде ;3.357 акции, со што поседува вкупно ;17.866 или ;6,89% од вкупниот број на акции",Replek AD Skopje
65,70686,2024-12-24 15:00:00,Витаминка АД Прилеп објавува откуп на сопствени акции,Vitaminka AD Prilep
66,70685,2024-12-20 15:01:00,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информација:","Pekabesko AD Kadino, Ilinden"
67,70684,2024-12-20 14:37:00,,Fruktal Mak AD Skopje
68,70683,2024-12-20 14:36:02,,Fruktal Mak AD Skopje
69,70682,2024-12-20 14:06:00,,Vabtek MZT AD Skopje
70,70681,2024-12-20 14:05:00,,Vabtek MZT AD Skopje
71,70680,2024-12-20 15:00:00,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информација:","Pekabesko AD Kadino, Ilinden"
72,70679,2024-12-20 09:29:00,,OILKO KDA Skopje
73,70678,2024-12-20 09:28:21,,OILKO KDA Skopje
74,70677,2024-12-20 09:19:00,Други одлуки од собрание,Nova stokovna kukja AD Strumica
75,70676,2024-12-20 09:18:54,Други одлуки од собрание,Nova stokovna kukja AD Strumica
76,70675,2024-12-19 15:07:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% односно компанијата Настел ДООЕЛ продаде 99 акции, со што поседува вкупно 21.223 или 8,19% од вкупниот број на акции.",Replek AD Skopje
77,70674,2024-12-19 14:06:00,,Vabtek MZT AD Skopje
78,70673,2024-12-19 14:06:00,,Vabtek MZT AD Skopje
79,70672,2024-12-19 14:06:00,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП ;Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на ; Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека ; Прилепска пиварница ад Прилеп на ден ;17.12.2024 година се стекна со ;146 сопствени акции. ;Вкупниот број сопствени акции што ги поседува друштвото е ;948 што претставува 2,37 % од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп.",Prilepska pivarnica AD Prilep
80,70671,2024-12-19 15:06:22,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% односно компанијата Настел ДООЕЛ продаде 99 акции, со што поседува вкупно 21.223 или 8,19% од вкупниот број на акции.",Replek AD Skopje
81,70670,2024-12-19 14:05:00,,Vabtek MZT AD Skopje
82,70669,2024-12-19 14:05:00,,Vabtek MZT AD Skopje
83,70668,2024-12-19 14:05:00,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП ;Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на ; Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека ; Прилепска пиварница ад Прилеп на ден ;17.12.2024 година се стекна со ;146 сопствени акции. ;Вкупниот број сопствени акции што ги поседува друштвото е ;948 што претставува 2,37 % од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп.",Prilepska pivarnica AD Prilep
84,70667,2024-12-18 14:06:00,"<strong>TTK Банка АД ; Скопје ја исплати главницата и каматата за 3 месеци на сопствениците на корпоративни обврзници - прва емисија</strong> ;ТТК Банка АД Скопје<strong> ;</strong>на 18.12.2024 година ја исплати главницата и каматата на сопствениците на корпоративни обврзници – прва емисија со ISIN MKTTKS200012 и шифра ;TTKO. Пресметката на главницата и на 3-месечната камата е извршена по фиксна каматна стапка од 3,5% на годишно ниво. Право на исплата на камата имаа сите лица регистрирани во книгата на иматели на корпоративна обврзница - прва емисија во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.12.2024 година. ; ;Во септември 2019 година ТТК Банка АД Скопје ја издаде првата емисија на корпоративни обврзници од коишто за кратко време се запишаа и уплатија 100% од понудените 1.500 обврзници по номинална вредност од 1.000 евра, со рок на доспевање од ;пет години и 3 месеци, а во вкупна вредност од 1.500.000 евра, и фиксна каматна стапка од 3,5 % на годишно ниво.  ;",TTK Banka AD Skopje
85,70666,2024-12-18 14:05:00,"<strong>TTK Банка АД ; Скопје ја исплати главницата и каматата за 3 месеци на сопствениците на корпоративни обврзници - прва емисија</strong> ;ТТК Банка АД Скопје<strong> ;</strong>на 18.12.2024 година ја исплати главницата и каматата на сопствениците на корпоративни обврзници – прва емисија со ISIN MKTTKS200012 и шифра ;TTKO. Пресметката на главницата и на 3-месечната камата е извршена по фиксна каматна стапка од 3,5% на годишно ниво. Право на исплата на камата имаа сите лица регистрирани во книгата на иматели на корпоративна обврзница - прва емисија во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.12.2024 година. ; ;Во септември 2019 година ТТК Банка АД Скопје ја издаде првата емисија на корпоративни обврзници од коишто за кратко време се запишаа и уплатија 100% од понудените 1.500 обврзници по номинална вредност од 1.000 евра, со рок на доспевање од ;пет години и 3 месеци, а во вкупна вредност од 1.500.000 евра, и фиксна каматна стапка од 3,5 % на годишно ниво.  ;",TTK Banka AD Skopje
86,70665,2024-12-18 09:30:00,"ALKALOID AD Skopje honored with four awards: Most Transparent Listed Joint Stock Company ;selected by the media and by market participants, Stock of the Year, and Good ESG Practices",Alkaloid AD Skopje
87,70664,2024-12-18 09:30:00,"АЛКАЛОИД АД Скопје ;со четири признанија: Најтранспарентно котирано друштво по избор на медиумите и по избор на пазарните учесници, Акција на годината и Добри ESG-практики",Alkaloid AD Skopje
88,70663,2024-12-18 08:40:00,"На Собранието на акционери на АД Раде Кончар-Апаратна техника-Скопје одржано на ден 17.12.2024 година, акционерите на Друштвото се произнесоа на следниот начин:-Не се донесе Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје.-Не се донесе Одлука за одобрување на купопродажба на недвижен имот опишан во Имотен лист 58529 за КО Кисела Вода 2 на КП 1851/16 сопственост на ДОО Раде Кончар-Заеднички дејности-Скопје",Rade Konchar - Aparatna tehnika AD Skopje
89,70662,2024-12-18 08:39:40,"На Собранието на акционери на АД Раде Кончар-Апаратна техника-Скопје одржано на ден 17.12.2024 година, акционерите на Друштвото се произнесоа на следниот начин:-Не се донесе Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје.-Не се донесе Одлука за одобрување на купопродажба на недвижен имот опишан во Имотен лист 58529 за КО Кисела Вода 2 на КП 1851/16 сопственост на ДОО Раде Кончар-Заеднички дејности-Скопје",Rade Konchar - Aparatna tehnika AD Skopje
90,70661,2024-12-17 14:07:00,,Zhito Polog AD Tetovo
91,70660,2024-12-17 14:07:00,,Zhito Polog AD Tetovo
92,70659,2024-12-17 14:06:00,,Zhito Polog AD Tetovo
93,70658,2024-12-17 14:06:00,,Zhito Polog AD Tetovo
94,70657,2024-12-16 15:27:00,Реплек АД - Бизнис план 2025 година,Replek AD Skopje
95,70656,2024-12-16 15:26:00,Финансиски календар 2025,Replek AD Skopje
96,70655,2024-12-16 15:26:16,Реплек АД - Бизнис план 2025 година,Replek AD Skopje
97,70653,2024-12-16 15:25:31,Финансиски календар 2025,Replek AD Skopje
98,70652,2024-12-13 14:30:00,,Alkaloid AD Skopje
99,70651,2024-12-13 14:30:00,,Alkaloid AD Skopje
100,70650,2024-12-13 09:09:00,,Geras Cunev Konfekcija AD Strumica
101,70649,2024-12-13 09:09:00,,Geras Cunev Trgovija AD Strumica
102,70648,2024-12-13 09:08:33,,Geras Cunev Konfekcija AD Strumica
103,70647,2024-12-13 09:08:26,,Geras Cunev Trgovija AD Strumica
104,70646,2024-12-12 14:10:00,"Известуваме дека ТТК Банка АД Скопjе ќе изврши исплата на главницата и тримесечната камата по каматна стапка од 3,5% на годишно ниво на имателите на Корпоративната обврзница – прва емисија на обврзници ИСИН МКТТКЅ200012 и шифра ТТКО.Право на исплата на главница и камата имаат лицата кои се регистрирани во книгата на иматели на Корпоративна обврзница - прва емисија на издавачот ТТК Банка АД Скопје во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.12.2024 година. ;Корпоративните обврзници - прва емисија издадени од ТТК Банка АД Скопје со ИСИН број MKTTKS200012, во количина од 1.500 обврзници, достасува на 18.12.2024 година.Воедно, информираме дека Банката до Македонска берза на хартии од ведност достави Известување со барање за прекин на тргувањето со Корпоративните обврзници - прва емисија издадени од ТТК Банка АД Скопје во деновите 16 и 17 декември. Со тоа последен ден за тргување на истите ќе биде 13.12.2024 година.",TTK Banka AD Skopje
105,70645,2024-12-12 14:06:00,,TTK Banka AD Skopje
106,70644,2024-12-12 14:06:00,,TTK Banka AD Skopje
107,70643,2024-12-12 14:09:27,"Известуваме дека ТТК Банка АД Скопjе ќе изврши исплата на главницата и тримесечната камата по каматна стапка од 3,5% на годишно ниво на имателите на Корпоративната обврзница – прва емисија на обврзници ИСИН МКТТКЅ200012 и шифра ТТКО.Право на исплата на главница и камата имаат лицата кои се регистрирани во книгата на иматели на Корпоративна обврзница - прва емисија на издавачот ТТК Банка АД Скопје во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.12.2024 година. ;Корпоративните обврзници - прва емисија издадени од ТТК Банка АД Скопје со ИСИН број MKTTKS200012, во количина од 1.500 обврзници, достасува на 18.12.2024 година.Воедно, информираме дека Банката до Македонска берза на хартии од ведност достави Известување со барање за прекин на тргувањето со Корпоративните обврзници - прва емисија издадени од ТТК Банка АД Скопје во деновите 16 и 17 декември. Со тоа последен ден за тргување на истите ќе биде 13.12.2024 година.",TTK Banka AD Skopje
108,70642,2024-12-12 14:05:00,,TTK Banka AD Skopje
109,70641,2024-12-12 14:05:00,,TTK Banka AD Skopje
110,70640,2024-12-12 08:35:40,Decision for distribution of advanced dividend for the period January - September 2024,Cementarnica USJE AD Skopje
111,70639,2024-12-12 08:35:36,Одлука за распределба на аванс на дивиденда за периодот Јануари – Септември 2024,Cementarnica USJE AD Skopje
112,70637,2024-12-11 15:14:00,,Makedonijaturist AD Skopje
113,70636,2024-12-11 15:13:00,,Makedonijaturist AD Skopje
114,70635,2024-12-11 15:13:02,,Makedonijaturist AD Skopje
115,70634,2024-12-11 15:12:34,,Makedonijaturist AD Skopje
116,70633,2024-12-11 14:21:00,"Макпетрол А.Д.  ;согласно член 40, точка 5 од Правилата за котација на Македонска берза за хартии од вредност, го изготви Календарот на настани во 2025 ;година",Makpetrol AD Skopje
117,70632,2024-12-11 14:17:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% Пецовски Владимир се стекна со 16 нови акции, со што поседува вкупно 16.460 или 6,35% од вкупниот број на акции.Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 176 акции, со што поседува вкупно 21.322 или 8,23% од вкупниот број на акции. ;",Replek AD Skopje
118,70631,2024-12-11 14:20:00,"Макпетрол А.Д.  ;согласно член 40, точка 5 од Правилата за котација на Македонска берза за хартии од вредност, го изготви Календарот на настани во 2025 ;година",Makpetrol AD Skopje
119,70630,2024-12-11 14:16:29,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% Пецовски Владимир се стекна со 16 нови акции, со што поседува вкупно 16.460 или 6,35% од вкупниот број на акции.Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 176 акции, со што поседува вкупно 21.322 или 8,23% од вкупниот број на акции. ;",Replek AD Skopje
120,70626,2024-12-10 14:45:00,,Geras Cunev Konfekcija AD Strumica
121,70625,2024-12-10 14:44:00,,Geras Cunev Trgovija AD Strumica
122,70624,2024-12-10 14:44:10,,Geras Cunev Konfekcija AD Strumica
123,70623,2024-12-10 14:43:53,,Geras Cunev Trgovija AD Strumica
124,70622,2024-12-10 14:02:00,Одлуки од собрание на акционери одржано на ден 10.12.2024,FZC 11 Oktomvri AD Kumanovo
125,70621,2024-12-10 14:02:00,Известување за зделка со заинтересирана страна,FZC 11 Oktomvri AD Kumanovo
126,70620,2024-12-10 14:01:01,Известување за зделка со заинтересирана страна,FZC 11 Oktomvri AD Kumanovo
127,70619,2024-12-10 14:01:07,Одлуки од собрание на акционери одржано на ден 10.12.2024,FZC 11 Oktomvri AD Kumanovo
