,Index,Date,Content,Company,Sentiment analysis,Score
9,70712,2024-12-26 14:06:00,Календар на настаните 2025 година,Nova stokovna kukja AD Strumica,Positive,0.59
42,70677,2024-12-20 09:19:00,Други одлуки од собрание,Nova stokovna kukja AD Strumica,Positive,0.56
12,70709,2024-12-25 15:36:00,,Makedonijaturist AD Skopje,,
13,70708,2024-12-25 15:28:00,,Makedonijaturist AD Skopje,,
14,70707,2024-12-25 15:35:15,,Makedonijaturist AD Skopje,,
16,70705,2024-12-25 15:14:00,"Врз основа на член 20 од Статутот на Факом АД Скопје се објави јавен повик за одржување Собрание на акционерите на Факом АД Скопје  ;на ден 25.12.2024 во дневниот весник Нова Македонија . Истиот оглас со повик на Собрание на акционери на Факом АД Скопје се поништува со објава на датум 26.12.2024 во дневниот весник Нова Македонија , единствената точка на дневниот ред ќе биде ставена на редовното годишно собрание што друштвото ќе го закаже согласно одредбите од ЗТД.",Fakom AD Skopje,Positive,0.55
18,70703,2024-12-25 15:13:47,"Врз основа на член 20 од Статутот на Факом АД Скопје се објави јавен повик за одржување Собрание на акционерите на Факом АД Скопје  ;на ден 25.12.2024 во дневниот весник Нова Македонија . Истиот оглас со повик на Собрание на акционери на Факом АД Скопје се поништува со објава на датум 26.12.2024 во дневниот весник Нова Македонија , единствената точка на дневниот ред ќе биде ставена на редовното годишно собрание што друштвото ќе го закаже согласно одредбите од ЗТД.",Fakom AD Skopje,Positive,0.55
290,70411,2024-11-04 08:45:00,Консолидиран биланс на успех 01.01-30.09,Fakom AD Skopje,Positive,0.57
17,70704,2024-12-25 15:03:00,"Одлука за измена на лице за контакт за Силекс Ад, Кратово",Sileks AD Kratovo,Positive,0.57
19,70702,2024-12-25 15:02:37,"Одлука за измена на лице за контакт за Силекс Ад, Кратово",Sileks AD Kratovo,Positive,0.57
230,70475,2024-11-12 14:06:00,"Konsolidiran nerevidiran bilans na uspeh za RIK SILEKS AD, Kratovo  ;za period od 01.01.2024 do 30.09.2024",Sileks AD Kratovo,Positive,0.57
20,70701,2024-12-25 14:06:00,"Согласно објавата за Јавен повик за 65-то Собрание на акционери на Триглав Осигурување АД, Скопје, закажано за 29.01.2025 година со почеток во 09,00 часот, во просториите на Триглав Осигурување АД, Скопје, на бул. „8-ми Септември“ бр.16, Скопје, ја објавуваме содржината на материјалите по точките од дневниот ред.",Triglav osiguruvanje AD Skopje,Positive,0.54
21,70700,2024-12-25 14:06:00,"Врз основа на член 41 од Статутот на Триглав Осигурување АД, Скопје и донесената Одлука на 221-та седница на Одборот на директори на Триглав Осигурување АД, Скопје, одржана на ден 19.12.2024 година, за свикување на 65-та седница на Собранието на акционери, објавуваме Повик до акционерите за учество на Собрание на акционери на Друштвото.",Triglav osiguruvanje AD Skopje,Positive,0.54
23,70698,2024-12-25 14:05:00,"Согласно објавата за Јавен повик за 65-то Собрание на акционери на Триглав Осигурување АД, Скопје, закажано за 29.01.2025 година со почеток во 09,00 часот, во просториите на Триглав Осигурување АД, Скопје, на бул. „8-ми Септември“ бр.16, Скопје, ја објавуваме содржината на материјалите по точките од дневниот ред.",Triglav osiguruvanje AD Skopje,Positive,0.54
22,70699,2024-12-25 14:06:00,Календар на настани во 2025 година,Moda AD Sveti Nikole,Positive,0.62
25,70696,2024-12-25 14:05:00,Календар на настани во 2025 година,Moda AD Sveti Nikole,Positive,0.62
610,70050,2024-10-25 14:06:00,,Moda AD Sveti Nikole,,
26,70695,2024-12-25 08:51:00,,Centralna kooperativna banka AD Skopje,,
27,70694,2024-12-25 08:51:00,,Centralna kooperativna banka AD Skopje,,
28,70693,2024-12-25 08:50:20,,Centralna kooperativna banka AD Skopje,,
30,70689,2024-12-24 15:01:00,Витаминка АД Прилеп објавува откуп на сопствени акции,Vitaminka AD Prilep,Positive,0.58
33,70686,2024-12-24 15:00:00,Витаминка АД Прилеп објавува откуп на сопствени акции,Vitaminka AD Prilep,Positive,0.58
336,70356,2024-10-31 15:06:00,Образложение до берза од Витаминка АД Прилеп,Vitaminka AD Prilep,Positive,0.6
31,70688,2024-12-24 14:06:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% Пецовски Душан воедно ;Претседател на Управниот одбор и Генерален директор на Реплек АД Скопје, се стекна со 5 нови акции, со што поседува вкупно 31.620 или 12,20% од вкупниот број на акции.Акционер со над 5% односно компанијата Настел ДООЕЛ продаде ;3.357 акции, со што поседува вкупно ;17.866 или ;6,89% од вкупниот број на акции",Replek AD Skopje,Positive,0.55
32,70687,2024-12-24 14:05:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% Пецовски Душан воедно ;Претседател на Управниот одбор и Генерален директор на Реплек АД Скопје, се стекна со 5 нови акции, со што поседува вкупно 31.620 или 12,20% од вкупниот број на акции.Акционер со над 5% односно компанијата Настел ДООЕЛ продаде ;3.357 акции, со што поседува вкупно ;17.866 или ;6,89% од вкупниот број на акции",Replek AD Skopje,Positive,0.55
44,70675,2024-12-19 15:07:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% односно компанијата Настел ДООЕЛ продаде 99 акции, со што поседува вкупно 21.223 или 8,19% од вкупниот број на акции.",Replek AD Skopje,Positive,0.58
34,70685,2024-12-20 15:01:00,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информација:","Pekabesko AD Kadino, Ilinden",Positive,0.57
39,70680,2024-12-20 15:00:00,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информација:","Pekabesko AD Kadino, Ilinden",Positive,0.57
130,70583,2024-11-29 09:31:00,"Согласно Глава 6 од Правилата за котација, ja објавуваме следнaтa предлог - одлукa за Собранието на акционери","Pekabesko AD Kadino, Ilinden",Positive,0.59
35,70684,2024-12-20 14:37:00,,Fruktal Mak AD Skopje,,
36,70683,2024-12-20 14:36:02,,Fruktal Mak AD Skopje,,
158,70553,2024-11-20 14:06:00,Materijali za Sobranie na akcioneri - zdelka so zainteresirana strana,Fruktal Mak AD Skopje,Positive,0.58
37,70682,2024-12-20 14:06:00,,Vabtek MZT AD Skopje,,
38,70681,2024-12-20 14:05:00,,Vabtek MZT AD Skopje,,
45,70674,2024-12-19 14:06:00,,Vabtek MZT AD Skopje,,
40,70679,2024-12-20 09:29:00,,OILKO KDA Skopje,,
41,70678,2024-12-20 09:28:21,,OILKO KDA Skopje,,
464,70219,2024-10-30 14:11:00,,OILKO KDA Skopje,,
47,70672,2024-12-19 14:06:00,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП ;Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на ; Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека ; Прилепска пиварница ад Прилеп на ден ;17.12.2024 година се стекна со ;146 сопствени акции. ;Вкупниот број сопствени акции што ги поседува друштвото е ;948 што претставува 2,37 % од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп.",Prilepska pivarnica AD Prilep,Positive,0.56
51,70668,2024-12-19 14:05:00,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП ;Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на ; Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека ; Прилепска пиварница ад Прилеп на ден ;17.12.2024 година се стекна со ;146 сопствени акции. ;Вкупниот број сопствени акции што ги поседува друштвото е ;948 што претставува 2,37 % од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп.",Prilepska pivarnica AD Prilep,Positive,0.56
96,70618,2024-12-06 14:06:00,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП ;Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на ; Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека ; Прилепска пиварница ад Прилеп на ден 4.12.2024 година се стекна со 8 сопствени акции. ;Вкупниот број сопствени акции што ги поседува друштвото е 802 што претставува 2 % од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп.",Prilepska pivarnica AD Prilep,Positive,0.56
54,70665,2024-12-18 09:30:00,"ALKALOID AD Skopje honored with four awards: Most Transparent Listed Joint Stock Company ;selected by the media and by market participants, Stock of the Year, and Good ESG Practices",Alkaloid AD Skopje,Positive,0.6
55,70664,2024-12-18 09:30:00,"АЛКАЛОИД АД Скопје ;со четири признанија: Најтранспарентно котирано друштво по избор на медиумите и по избор на пазарните учесници, Акција на годината и Добри ESG-практики",Alkaloid AD Skopje,Positive,0.58
66,70652,2024-12-13 14:30:00,,Alkaloid AD Skopje,Positive,0.57
56,70663,2024-12-18 08:40:00,"На Собранието на акционери на АД Раде Кончар-Апаратна техника-Скопје одржано на ден 17.12.2024 година, акционерите на Друштвото се произнесоа на следниот начин:-Не се донесе Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје.-Не се донесе Одлука за одобрување на купопродажба на недвижен имот опишан во Имотен лист 58529 за КО Кисела Вода 2 на КП 1851/16 сопственост на ДОО Раде Кончар-Заеднички дејности-Скопје",Rade Konchar - Aparatna tehnika AD Skopje,Positive,0.56
57,70662,2024-12-18 08:39:40,"На Собранието на акционери на АД Раде Кончар-Апаратна техника-Скопје одржано на ден 17.12.2024 година, акционерите на Друштвото се произнесоа на следниот начин:-Не се донесе Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје.-Не се донесе Одлука за одобрување на купопродажба на недвижен имот опишан во Имотен лист 58529 за КО Кисела Вода 2 на КП 1851/16 сопственост на ДОО Раде Кончар-Заеднички дејности-Скопје",Rade Konchar - Aparatna tehnika AD Skopje,Positive,0.56
220,70488,2024-11-15 09:31:00,"-Предлог-Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје, предложена од Одборот на директори-Предлог-Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје, предложена од акционери-Предлог-Одлука за одобрување продажба на недвижен имот, предложена од акционери",Rade Konchar - Aparatna tehnika AD Skopje,Positive,0.54
58,70661,2024-12-17 14:07:00,,Zhito Polog AD Tetovo,,
59,70660,2024-12-17 14:07:00,,Zhito Polog AD Tetovo,,
60,70659,2024-12-17 14:06:00,,Zhito Polog AD Tetovo,,
68,70650,2024-12-13 09:09:00,,Geras Cunev Konfekcija AD Strumica,,
70,70648,2024-12-13 09:08:33,,Geras Cunev Konfekcija AD Strumica,,
88,70626,2024-12-10 14:45:00,,Geras Cunev Konfekcija AD Strumica,,
69,70649,2024-12-13 09:09:00,,Geras Cunev Trgovija AD Strumica,,
71,70647,2024-12-13 09:08:26,,Geras Cunev Trgovija AD Strumica,,
89,70625,2024-12-10 14:44:00,,Geras Cunev Trgovija AD Strumica,,
78,70640,2024-12-12 08:35:40,Decision for distribution of advanced dividend for the period January - September 2024,Cementarnica USJE AD Skopje,Positive,0.58
79,70639,2024-12-12 08:35:36,Одлука за распределба на аванс на дивиденда за периодот Јануари – Септември 2024,Cementarnica USJE AD Skopje,Positive,0.58
442,70242,2024-10-31 08:36:36,Notes to the financial results USJE January-September 2024,Cementarnica USJE AD Skopje,Positive,0.57
92,70622,2024-12-10 14:02:00,Одлуки од собрание на акционери одржано на ден 10.12.2024,FZC 11 Oktomvri AD Kumanovo,Positive,0.59
93,70621,2024-12-10 14:02:00,Известување за зделка со заинтересирана страна,FZC 11 Oktomvri AD Kumanovo,Positive,0.56
94,70620,2024-12-10 14:01:01,Известување за зделка со заинтересирана страна,FZC 11 Oktomvri AD Kumanovo,Positive,0.56
117,70597,2024-12-03 14:06:00,Аутомакедонија АД Скопје известува дека во изминатиот период се стекнала со 200 хартии од вредност во Осигурителното брокерско друштво АМ БРОКЕР АД СКОПЈЕ.<br>Со извршените трговски трансакции АУТОМАКЕДОНИЈА АД Скопје е сопственик на вкупно 400 хартии од вредност односно 80% од вкупниот број на хартии од вредност во АМ БРОКЕР АД СКОПЈЕ.<br> ;,Automakedonija AD Skopje,Positive,0.58
119,70595,2024-12-03 14:05:00,Аутомакедонија АД Скопје известува дека во изминатиот период се стекнала со 200 хартии од вредност во Осигурителното брокерско друштво АМ БРОКЕР АД СКОПЈЕ.<br>Со извршените трговски трансакции АУТОМАКЕДОНИЈА АД Скопје е сопственик на вкупно 400 хартии од вредност односно 80% од вкупниот број на хартии од вредност во АМ БРОКЕР АД СКОПЈЕ.<br> ;,Automakedonija AD Skopje,Positive,0.58
194,70515,2024-11-15 15:34:00,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информацијаОбразложение кон консолидирани неревидирани финансиски извештаи за период 01.01.2024 - 30.09.2024 ;",Automakedonija AD Skopje,Positive,0.59
120,70594,2024-12-02 15:14:00,Одлука за назначување на лице одговорно за односи со инвеститори на Тутунски комбинат АД Прилеп,Tutunski kombinat AD Prilep,Positive,0.58
121,70593,2024-12-02 15:13:11,Одлука за назначување на лице одговорно за односи со инвеститори на Тутунски комбинат АД Прилеп,Tutunski kombinat AD Prilep,Positive,0.58
280,70423,2024-11-05 09:47:00,;Одбор на директори на Тутунски комбинат АД Прилеп,Tutunski kombinat AD Prilep,Positive,0.58
128,70585,2024-11-29 14:03:55,"NLB Banka AD Skopje at the Shareholders Assembly held on November 29th, 2024, adopted the following Decisions:",NLB Banka AD Skopje,Positive,0.65
129,70584,2024-11-29 14:03:48,НЛБ Банка АД Скопје известува дека на Собранието на акционери на Банката одржано на 29.11.2024 година се усвоија следните одлуки:,NLB Banka AD Skopje,Positive,0.59
567,70099,2024-10-28 14:43:08,"According to the announcement by Sei Net on October 28, 2024 for the Public announcement for the Shareholders assembly of NLB Banka AD Skopje, scheduled for November 29, 2024, starting at 12.00 pm, at the premises of NLB Bankа AD Skopje, ""Vodnjanska"" No.1, 1000 Skopje, we publish the content of the proposal - decisions from the agenda",NLB Banka AD Skopje,Positive,0.56
150,70561,2024-11-22 14:06:00,Други ценовно чувствителни информации- Макстл АД,Makstil AD Skopje,Positive,0.6
151,70560,2024-11-22 14:05:00,Други ценовно чувствителни информации- Макстл АД,Makstil AD Skopje,Positive,0.6
152,70559,2024-11-21 16:01:00,Други ценовно чувствителни информации - Макстил АД,Makstil AD Skopje,Positive,0.6
154,70557,2024-11-21 09:48:00,,Teteks AD Tetovo,,
155,70556,2024-11-21 09:47:55,,Teteks AD Tetovo,,
156,70555,2024-11-21 09:29:00,,Teteks AD Tetovo,,
165,70546,2024-11-19 14:35:00,";<strong>Почитувани акционери и други заинтересирани страни,</strong>Ве известуваме дека  ;по реализација на постапката за ;именување (избор) на член и потпретседател на Управниот одбор на Друштвото и добиеното ;Решение за издавање на согласноста за вршење на финкцијата член на орган на управување на друштво за осигурување од Агенцијата за супервизија на осигурување, на ден 19.11.2024 година во ;Тековната состојба на ;МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп ;во Централниот регистар на РСМ е извршен упис на <strong>Климе Попоски за член и потпретседател на Управниот одбор на Друштвото</strong>.Сите прашања во врска со именувањето (избор) на ;Климе Попоски за член и потпретседател на Управниот одбор на Друштвото може да ги адресирате до стручните служби на Друштвото.Со почит, ; ;<strong>МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп</strong>",Makedonija osiguruvanje AD Skopje,Positive,0.56
169,70542,2024-11-19 14:34:55,";<strong>Почитувани акционери и други заинтересирани страни,</strong>Ве известуваме дека  ;по реализација на постапката за ;именување (избор) на член и потпретседател на Управниот одбор на Друштвото и добиеното ;Решение за издавање на согласноста за вршење на финкцијата член на орган на управување на друштво за осигурување од Агенцијата за супервизија на осигурување, на ден 19.11.2024 година во ;Тековната состојба на ;МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп ;во Централниот регистар на РСМ е извршен упис на <strong>Климе Попоски за член и потпретседател на Управниот одбор на Друштвото</strong>.Сите прашања во врска со именувањето (избор) на ;Климе Попоски за член и потпретседател на Управниот одбор на Друштвото може да ги адресирате до стручните служби на Друштвото.Со почит, ; ;<strong>МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп</strong>",Makedonija osiguruvanje AD Skopje,Positive,0.56
306,70392,2024-11-01 09:50:00,Согласно глава VI од Правилата за котација објавуваме Коментар на остварениот финансиски резултат за периодот 01.01.-30.09.2024,Makedonija osiguruvanje AD Skopje,Positive,0.6
180,70531,2024-11-18 14:06:00,"<strong>Симеон Василев</strong> повеќе не е акционер во РЖ Интер-трансшпед АД Скопје, нов акционер е <strong>Васил Василев</strong> со 62.500 илјади акции во РЖ Интер-трансшпед АД Скопје или 10,6%",RZH Inter-Transshped AD Skopje,Positive,0.54
181,70530,2024-11-18 14:05:00,"<strong>Симеон Василев</strong> повеќе не е акционер во РЖ Интер-трансшпед АД Скопје, нов акционер е <strong>Васил Василев</strong> со 62.500 илјади акции во РЖ Интер-трансшпед АД Скопје или 10,6%",RZH Inter-Transshped AD Skopje,Positive,0.54
514,70161,2024-10-30 08:35:00,Неревидиран биланс на успех 01.01.-30.09.2024,RZH Inter-Transshped AD Skopje,Positive,0.58
190,70519,2024-11-15 15:57:00,КОНСОЛИДИРАН БИЛАНС НА УСПЕХ 01.01-30.09.2024,Pelisterka AD Skopje,Positive,0.6
191,70518,2024-11-15 15:56:29,КОНСОЛИДИРАН БИЛАНС НА УСПЕХ 01.01-30.09.2024,Pelisterka AD Skopje,Positive,0.6
318,70375,2024-10-31 15:53:00,,Pelisterka AD Skopje,,
192,70517,2024-11-15 15:52:00,,Sovremen dom AD Prilep,,
193,70516,2024-11-15 15:51:10,,Sovremen dom AD Prilep,,
198,70511,2024-11-15 15:01:00,,Fershped AD Skopje,,
199,70510,2024-11-15 15:01:00,Неревидиран консолидиран Биланс на успех 01.01-30.09.2024 година,Fershped AD Skopje,Positive,0.57
200,70509,2024-11-15 15:00:00,,Fershped AD Skopje,,
201,70508,2024-11-15 14:12:00,,Granit AD Skopje,,
202,70507,2024-11-15 14:12:00,,Granit AD Skopje,,
205,70504,2024-11-15 14:11:29,,Granit AD Skopje,,
203,70506,2024-11-15 14:11:00,ОБРАЗЛОЖЕНИЕ КОН НЕРЕВИДИРАНИТЕ КОНСОЛИДИРАНИ ФИНАНСИСКИ ИЗВЕШТАИ 31.09.2024 ЗК ПЕЛАГОНИЈА,ZK Pelagonija AD Bitola,Positive,0.59
204,70505,2024-11-15 14:11:00,Неревидирани консолидирани финансиски извештаи Групација ЗК Пелагонија 01.01-30.09.2024,ZK Pelagonija AD Bitola,Positive,0.57
208,70501,2024-11-15 14:10:00,ОБРАЗЛОЖЕНИЕ КОН НЕРЕВИДИРАНИТЕ КОНСОЛИДИРАНИ ФИНАНСИСКИ ИЗВЕШТАИ 31.09.2024 ЗК ПЕЛАГОНИЈА,ZK Pelagonija AD Bitola,Positive,0.59
209,70500,2024-11-15 14:06:00,Објаснување кон консолидираниот биланс на успех 30.09.2024,Nemetali Ograzhden AD Strumica,Positive,0.57
210,70499,2024-11-15 14:06:00,Неревидиран консолидиран биланс на успех 30.09.2024,Nemetali Ograzhden AD Strumica,Positive,0.58
215,70494,2024-11-15 14:05:00,Објаснување кон консолидираниот биланс на успех 30.09.2024,Nemetali Ograzhden AD Strumica,Positive,0.57
211,70498,2024-11-15 14:06:00,,VV Tikvesh AD Kavadarci,,
216,70493,2024-11-15 14:05:00,,VV Tikvesh AD Kavadarci,,
378,70311,2024-10-31 14:07:00,Неконсолидиран биланс на успех 01 01 2024-30 09 2024 ;,VV Tikvesh AD Kavadarci,Positive,0.58
212,70497,2024-11-15 14:06:00,Образложение ко неревидиран консолидиран биланс на успех 01.01.-30.09.2024 г,Makpromet AD Shtip,Positive,0.6
213,70496,2024-11-15 14:06:00,Неревидиран консолидиран биланс на успех 01.01-30.09.2024 г.,Makpromet AD Shtip,Positive,0.59
218,70490,2024-11-15 14:05:00,Образложение ко неревидиран консолидиран биланс на успех 01.01.-30.09.2024 г,Makpromet AD Shtip,Positive,0.6
232,70473,2024-11-11 15:47:00,,GTC AD Skopje,,
234,70471,2024-11-11 15:46:37,,GTC AD Skopje,,
284,70418,2024-11-04 15:48:00,Биографии за предложени кандидати за членови на Одбор на директори на Градски Трговски Центар А.Д. Скопје,GTC AD Skopje,Positive,0.59
241,70464,2024-11-11 14:06:00,Образложение на осварените консолидирани резултати,Tehnokomerc AD Skopje,Positive,0.57
242,70463,2024-11-11 14:06:00,КОНСОЛИДИРАН  ;НЕРЕВИДИРАН БИЛАНС  ;НА УСПЕХ,Tehnokomerc AD Skopje,Positive,0.56
247,70458,2024-11-11 14:05:01,Образложение на осварените консолидирани резултати,Tehnokomerc AD Skopje,Positive,0.57
294,70407,2024-11-01 15:16:00,Корекција. Напоменуваме дека во предходната објава како предходен период се земени податоци со 31.12.2023,Fabrika Karposh AD Skopje,Positive,0.6
295,70406,2024-11-01 15:15:14,Корекција. Напоменуваме дека во предходната објава како предходен период се земени податоци со 31.12.2023,Fabrika Karposh AD Skopje,Positive,0.6
312,70386,2024-11-01 08:29:00,Неревидиран биланс на успех за квартак 3 2024 година,Fabrika Karposh AD Skopje,Positive,0.57
296,70404,2024-11-01 14:06:00,Образложение со 30.09.24- Корекција,SN Osiguritelen Broker AD Bitola,Positive,0.58
297,70403,2024-11-01 14:06:00,Неревидиран биланс на успех 01.01-30.09.24 - Корекција,SN Osiguritelen Broker AD Bitola,Positive,0.55
301,70399,2024-11-01 14:05:01,Образложение со 30.09.24- Корекција,SN Osiguritelen Broker AD Bitola,Positive,0.58
300,70400,2024-11-01 14:06:00,Направена е корекција во реден бр.15 -Амортизација на материјални и нематријални средства,Dimko Mitrev AD Veles,Positive,0.55
303,70397,2024-11-01 14:05:00,Направена е корекција во реден бр.15 -Амортизација на материјални и нематријални средства,Dimko Mitrev AD Veles,Positive,0.55
376,70313,2024-10-31 14:07:00,,Dimko Mitrev AD Veles,,
313,70385,2024-11-01 08:29:00,Неревидиран биланс за успех за период од 01.01.2024 до 30.09.2024,Agromehanika AD Skopje,Positive,0.6
315,70383,2024-11-01 08:28:09,Неревидиран биланс за успех за период од 01.01.2024 до 30.09.2024,Agromehanika AD Skopje,Positive,0.6
320,70372,2024-10-31 15:47:00,Согласно глава 6 од Правилата за котација известуваме за следната ценовно чувствителна информација,Patnichki soobrakjaj - Transkop AD Bitola,Positive,0.59
321,70371,2024-10-31 15:47:00,"Согласно глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај",Patnichki soobrakjaj - Transkop AD Bitola,Positive,0.59
323,70369,2024-10-31 15:46:45,Согласно глава 6 од Правилата за котација известуваме за следната ценовно чувствителна информација,Patnichki soobrakjaj - Transkop AD Bitola,Positive,0.59
344,70347,2024-10-31 14:31:00,ОКТА АД - Скопје објавува:,OKTA AD Skopje,Positive,0.56
345,70346,2024-10-31 14:31:00,ОКТА АД - Скопје објавува:,OKTA AD Skopje,Positive,0.56
387,70301,2024-10-31 14:30:00,ОКТА АД - Скопје објавува:,OKTA AD Skopje,Positive,0.56
